Team Rankings:
--------------------------------------
  Rank         Team Name  Win Percentage
    1           Rockies   69.49152542372881355932203389830508474576
    2           Packers   65.85365853658536585365853658536585365854
    3            Wolves   63.46153846153846153846153846153846153846
    4           Rangers   63.3802816901408450704225352112676056338
    5           Dragons   63.33333333333333333333333333333333333333
    6           Rangers   63.29113924050632911392405063291139240506
    7           Bengals   62.82051282051282051282051282051282051282
    8           Vikings   62.33766233766233766233766233766233766234
    9          Steelers   61.97183098591549295774647887323943661972
   10            Tigers   61.53846153846153846153846153846153846154
   11           Packers   60.91954022988505747126436781609195402299
   12          Phillies   60.81081081081081081081081081081081081081
   13             Hawks   60.81081081081081081081081081081081081081
   14           Trojans   60.60606060606060606060606060606060606061
   15              Rays   60.46511627906976744186046511627906976744
   16             Lions   60.29411764705882352941176470588235294118
   17            Bisons   60.22727272727272727272727272727272727273
   18            Braves   59.74025974025974025974025974025974025974
   19           Rockies   59.34065934065934065934065934065934065934
   20            Tigers   59.21052631578947368421052631578947368421
   21            Braves   59.09090909090909090909090909090909090909
   22          Rattlers   59.0361445783132530120481927710843373494
   23         Cardinals   58.97435897435897435897435897435897435897
   24            Tigers   58.75
   25              Rams   58.69565217391304347826086956521739130435
   26             Hawks   58.66666666666666666666666666666666666667
   27         Athletics   58.53658536585365853658536585365853658537
   28            Padres   58.46153846153846153846153846153846153846
   29           Falcons   58.42696629213483146067415730337078651685
   30           Marlins   58.33333333333333333333333333333333333333
   31          Warriors   58.13953488372093023255813953488372093023
   32           Pirates   58.13953488372093023255813953488372093023
   33          Spartans   58.06451612903225806451612903225806451613
   34          Rattlers   58.06451612903225806451612903225806451613
   35              Reds   58
   36           Orioles   57.97101449275362318840579710144927536232
   37            Angels   57.95454545454545454545454545454545454545
   38           Rockies   57.89473684210526315789473684210526315789
   39            Giants   57.89473684210526315789473684210526315789
   40            Vipers   57.77777777777777777777777777777777777778
   41              Jets   57.77777777777777777777777777777777777778
   42           Broncos   57.74647887323943661971830985915492957746
   43              Rams   57.6086956521739130434782608695652173913
   44              Rays   57.53424657534246575342465753424657534247
   45          Steelers   57.5
   46           Vikings   57.35294117647058823529411764705882352941
   47           Cowboys   57.30337078651685393258426966292134831461
   48           Packers   57.29166666666666666666666666666666666667
   49              Cubs   57.14285714285714285714285714285714285714
   50           Knights   57.14285714285714285714285714285714285714
   51          Patriots   56.97674418604651162790697674418604651163
   52            Astros   56.96202531645569620253164556962025316456
   53              Cubs   56.96202531645569620253164556962025316456
   54           Dragons   56.96202531645569620253164556962025316456
   55              Cubs   56.96202531645569620253164556962025316456
   56          Warriors   56.96202531645569620253164556962025316456
   57           Rockies   56.94444444444444444444444444444444444444
   58            Vipers   56.92307692307692307692307692307692307692
   59             Lions   56.79012345679012345679012345679012345679
   60           Broncos   56.75675675675675675675675675675675675676
   61            Giants   56.66666666666666666666666666666666666667
   62            Wolves   56.62650602409638554216867469879518072289
   63          Phillies   56.4516129032258064516129032258064516129
   64             Lions   56.33802816901408450704225352112676056338
   65            Astros   56.25
   66           Orioles   56.25
   67           Pirates   56.16438356164383561643835616438356164384
   68           Yankees   56.09756097560975609756097560975609756098
   69         Cardinals   56.09756097560975609756097560975609756098
   70            Astros   56.04395604395604395604395604395604395604
   71             Hawks   56
   72           Dragons   55.9322033898305084745762711864406779661
   73          Warriors   55.84415584415584415584415584415584415584
   74            Giants   55.71428571428571428571428571428571428571
   75         Athletics   55.68181818181818181818181818181818181818
   76        Buccaneers   55.55555555555555555555555555555555555556
   77            Tigers   55.55555555555555555555555555555555555556
   78          Rattlers   55.55555555555555555555555555555555555556
   79            Wolves   55.55555555555555555555555555555555555556
   80           Rockies   55.55555555555555555555555555555555555556
   81              Rams   55.43478260869565217391304347826086956522
   82        Buccaneers   55.42168674698795180722891566265060240964
   83          Spartans   55.42168674698795180722891566265060240964
   84         Cardinals   55.40540540540540540540540540540540540541
   85              Mets   55.38461538461538461538461538461538461538
   86          Steelers   55.38461538461538461538461538461538461538
   87            Braves   55.29411764705882352941176470588235294118
   88              Jets   55.26315789473684210526315789473684210526
   89          Phillies   55.26315789473684210526315789473684210526
   90              Mets   55.12820512820512820512820512820512820513
   91           Vikings   55.0724637681159420289855072463768115942
   92          Warriors   55.0724637681159420289855072463768115942
   93            Astros   55
   94      Diamondbacks   55
   95           Yankees   54.94505494505494505494505494505494505495
   96           Marlins   54.87804878048780487804878048780487804878
   97             Bears   54.87804878048780487804878048780487804878
   98           Dodgers   54.87804878048780487804878048780487804878
   99          Spartans   54.79452054794520547945205479452054794521
  100              Rams   54.76190476190476190476190476190476190476
